Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,ATI,Radeon HD 5400,494,1.4,4113,https://gpu.userbenchmark.com/SpeedTest/8063/ATI-Radeon-HD-5400
GPU,,Nvidia,GeForce G210M,495,1.36,683,https://gpu.userbenchmark.com/SpeedTest/8875/NVIDIA-GeForce-G210M
GPU,,AMD,Radeon HD 5450,496,1.33,26759,https://gpu.userbenchmark.com/SpeedTest/7719/AMD-Radeon-HD-5450
GPU,,Nvidia,NVS 300,497,1.31,1159,https://gpu.userbenchmark.com/SpeedTest/8966/NVIDIA-NVS-300
GPU,,AMD,FirePro 2270,498,1.29,214,https://gpu.userbenchmark.com/SpeedTest/7813/AMD-FirePro-2270
GPU,,ATI,Radeon HD 4300,499,1.28,6676,https://gpu.userbenchmark.com/SpeedTest/7860/ATI-Radeon-HD-43004500
GPU,,Intel,HD 2000 (Desktop 1.1 GHz),500,1.26,50752,https://gpu.userbenchmark.com/SpeedTest/7697/IntelR-HD-Graphics
GPU,,Nvidia,GeForce 305M,501,1.26,17,https://gpu.userbenchmark.com/SpeedTest/10705/NVIDIA-GeForce-305M
GPU,,Nvidia,GeForce G210,502,1.25,1487,https://gpu.userbenchmark.com/SpeedTest/11784/NVIDIA-GeForce-G210
GPU,,Nvidia,GeForce 210,503,1.2,32143,https://gpu.userbenchmark.com/SpeedTest/7740/NVIDIA-GeForce-210
GPU,,ATI,Mobility Radeon HD 4350,504,1.18,562,https://gpu.userbenchmark.com/SpeedTest/9335/ATI-Mobility-Radeon-HD-43004500
GPU,,Nvidia,GeForce 8600M GS,505,1.17,553,https://gpu.userbenchmark.com/SpeedTest/8192/NVIDIA-GeForce-8600M-GS
GPU,,AMD,Radeon HD 7340,506,1.17,2062,https://gpu.userbenchmark.com/SpeedTest/8996/AMD-Radeon-HD-7340-Graphics
GPU,,ATI,Mobility Radeon HD 530v,507,1.15,145,https://gpu.userbenchmark.com/SpeedTest/10176/ATI-Mobility-Radeon-HD-530v
GPU,,Nvidia,GeForce 8500 GT,508,1.15,3038,https://gpu.userbenchmark.com/SpeedTest/7777/NVIDIA-GeForce-8500-GT
GPU,,AMD,Radeon HD 6320,509,1.13,3446,https://gpu.userbenchmark.com/SpeedTest/8103/AMD-Radeon-HD-6320-Graphics
GPU,,Intel,HD Graphics (Clarkdale 0.733/0.9 GHz),510,1.13,9031,https://gpu.userbenchmark.com/SpeedTest/7702/IntelR-HD-Graphics
GPU,,Intel,HD Graphics (G2 Pentium/Celeron 1.1/1.15 GHz),511,1.11,18686,https://gpu.userbenchmark.com/SpeedTest/7699/IntelR-HD-Graphics
GPU,,ATI,Mobility Radeon HD 4300,512,1.07,1546,https://gpu.userbenchmark.com/SpeedTest/8572/ATI-Mobility-Radeon-HD-4300
GPU,,Nvidia,Quadro FX 570,513,1.06,768,https://gpu.userbenchmark.com/SpeedTest/8189/NVIDIA-Quadro-FX-570
GPU,,Intel,HD Graphics (Bay Trail 0.667 - 0.854 GHz),514,1.06,40325,https://gpu.userbenchmark.com/SpeedTest/7698/IntelR-HD-Graphics
GPU,,Nvidia,GeForce 8400M GT,515,1.05,194,https://gpu.userbenchmark.com/SpeedTest/10523/NVIDIA-GeForce-8400M-GT
GPU,,Nvidia,GeForce G105M,516,1.01,1385,https://gpu.userbenchmark.com/SpeedTest/8400/NVIDIA-GeForce-G105M
GPU,,Nvidia,GeForce 9400M,517,0.98,319,https://gpu.userbenchmark.com/SpeedTest/7998/NVIDIA-GeForce-9400M
GPU,,AMD,Radeon HD 7310,518,0.97,2962,https://gpu.userbenchmark.com/SpeedTest/9174/AMD-Radeon-HD-7310-Graphics
GPU,,Nvidia,GeForce 7900 GTX,519,0.95,141,https://gpu.userbenchmark.com/SpeedTest/10625/NVIDIA-GeForce-7900-GTX
GPU,,AMD,Radeon HD 6310,520,0.95,5016,https://gpu.userbenchmark.com/SpeedTest/7807/AMD-Radeon-HD-6310-Graphics
GPU,,Intel,Graphics Media Accelerator 3150,521,0.91,4,https://gpu.userbenchmark.com/SpeedTest/7678/IntelR-Graphics-Media-Accelerator-3150
GPU,,Intel,HD Graphics (Arrandale 0.667/0.766 GHz),522,0.87,52082,https://gpu.userbenchmark.com/SpeedTest/7694/IntelR-HD-Graphics
GPU,,Nvidia,ION,523,0.87,824,https://gpu.userbenchmark.com/SpeedTest/7884/NVIDIA-ION
GPU,,ATI,Radeon HD 4290,524,0.84,596,https://gpu.userbenchmark.com/SpeedTest/7847/ATI-Radeon-HD-4290
