name,score,rank
Intel Core i7-2715QE @ 2.10GHz,5365,714
Intel Core i7-2720QM @ 2.20GHz,6117,622
Intel Core i7-2760QM @ 2.40GHz,6580,579
Intel Core i7-2820QM @ 2.30GHz,6634,573
Intel Core i7-2840QM @ 2.40GHz,6766,558
Intel Core i7-2860QM @ 2.50GHz,6990,540
Intel Core i7-2920XM @ 2.50GHz,7038,535
Intel Core i7-2960XM @ 2.70GHz,7200,518
Intel Core i7-3517U @ 1.90GHz,3589,1059
Intel Core i7-3517UE @ 1.70GHz,3323,1128
Intel Core i7-3520M @ 2.90GHz,4542,860
Intel Core i7-3537U @ 2.00GHz,3842,995
Intel Core i7-3540M @ 3.00GHz,4660,832
Intel Core i7-3555LE @ 2.50GHz,4130,943
Intel Core i7-3610QE @ 2.30GHz,6451,590
Intel Core i7-3610QM @ 2.30GHz,7467,492
Intel Core i7-3612QE @ 2.10GHz,6622,577
Intel Core i7-3612QM @ 2.10GHz,6824,553
Intel Core i7-3615QE @ 2.30GHz,7340,505
Intel Core i7-3615QM @ 2.30GHz,7380,502
Intel Core i7-3630QM @ 2.40GHz,7585,484
Intel Core i7-3632QM @ 2.20GHz,6941,545
Intel Core i7-3635QM @ 2.40GHz,6671,569
Intel Core i7-3667U @ 2.00GHz,3989,968
Intel Core i7-3687U @ 2.10GHz,4185,931
Intel Core i7-3689Y @ 1.50GHz,3220,1159
Intel Core i7-3720QM @ 2.60GHz,8125,431
Intel Core i7-3740QM @ 2.70GHz,8332,412
Intel Core i7-3770 @ 3.40GHz,9288,340
Intel Core i7-3770K @ 3.50GHz,9516,314
Intel Core i7-3770S @ 3.10GHz,8886,375
Intel Core i7-3770T @ 2.50GHz,8203,422
Intel Core i7-3820 @ 3.60GHz,8997,366
Intel Core i7-3820QM @ 2.70GHz,8444,405
Intel Core i7-3840QM @ 2.80GHz,8783,384
Intel Core i7-3920XM @ 2.90GHz,9149,347
Intel Core i7-3930K @ 3.20GHz,11988,200
Intel Core i7-3940XM @ 3.00GHz,9309,338
Intel Core i7-3960X @ 3.30GHz,12609,184
Intel Core i7-3970X @ 3.50GHz,12673,181
Intel Core i7-4500U @ 1.80GHz,3790,1011
Intel Core i7-4510U @ 2.00GHz,3930,983
Intel Core i7-4550U @ 1.50GHz,3713,1033
Intel Core i7-4558U @ 2.80GHz,4378,892
Intel Core i7-4560U @ 1.60GHz,4329,903
Intel Core i7-4578U @ 3.00GHz,4780,818
Intel Core i7-4600M @ 2.90GHz,4884,798
Intel Core i7-4600U @ 2.10GHz,4104,948
Intel Core i7-4610M @ 3.00GHz,4978,781
Intel Core i7-4610Y @ 1.70GHz,3746,1025
Intel Core i7-4650U @ 1.70GHz,3967,974
Intel Core i7-4700EQ @ 2.40GHz,7180,522
Intel Core i7-4700HQ @ 2.40GHz,7725,470
Intel Core i7-4700MQ @ 2.40GHz,7689,473
Intel Core i7-4702HQ @ 2.20GHz,7441,494
Intel Core i7-4702MQ @ 2.20GHz,7128,524
Intel Core i7-4710HQ @ 2.50GHz,7733,468
Intel Core i7-4710MQ @ 2.50GHz,8001,444
Intel Core i7-4712HQ @ 2.30GHz,7508,488
Intel Core i7-4712MQ @ 2.30GHz,7199,519
Intel Core i7-4720HQ @ 2.60GHz,8002,443
Intel Core i7-4722HQ @ 2.40GHz,8052,438
Intel Core i7-4750HQ @ 2.00GHz,8234,420
Intel Core i7-4760HQ @ 2.10GHz,8595,401
Intel Core i7-4765T @ 2.00GHz,7307,511
Intel Core i7-4770 @ 3.40GHz,9787,297
Intel Core i7-4770HQ @ 2.20GHz,8952,370
Intel Core i7-4770K @ 3.50GHz,10090,266
Intel Core i7-4770R @ 3.20GHz,9819,292
Intel Core i7-4770S @ 3.10GHz,9340,334
Intel Core i7-4770T @ 2.50GHz,8605,400
Intel Core i7-4770TE @ 2.30GHz,6732,565
Intel Core i7-4771 @ 3.50GHz,9873,288
Intel Core i7-4785T @ 2.20GHz,7611,483
Intel Core i7-4790 @ 3.60GHz,9990,281
Intel Core i7-4790K @ 4.00GHz,11180,213
Intel Core i7-4790S @ 3.20GHz,9573,312
Intel Core i7-4790T @ 2.70GHz,9094,354
Intel Core i7-4800MQ @ 2.70GHz,8491,403
Intel Core i7-4810MQ @ 2.80GHz,8654,397
Intel Core i7-4820K @ 3.70GHz,9716,303
Intel Core i7-4850HQ @ 2.30GHz,9016,362
Intel Core i7-4860EQ @ 1.80GHz,7875,452
Intel Core i7-4860HQ @ 2.40GHz,9265,341
Intel Core i7-4870HQ @ 2.50GHz,9362,333
Intel Core i7-4900MQ @ 2.80GHz,9034,360
Intel Core i7-4910MQ @ 2.90GHz,9399,331
Intel Core i7-4930K @ 3.40GHz,13014,172
Intel Core i7-4930MX @ 3.00GHz,9485,317
Intel Core i7-4940MX @ 3.10GHz,9910,284
Intel Core i7-4960HQ @ 2.60GHz,9792,294
Intel Core i7-4960X @ 3.60GHz,13794,153
Intel Core i7-4980HQ @ 2.80GHz,10242,255
Intel Core i7-5500U @ 2.40GHz,3971,972
Intel Core i7-5550U @ 2.00GHz,4271,916
Intel Core i7-5557U @ 3.10GHz,4944,788
Intel Core i7-5600U @ 2.60GHz,4309,909
Intel Core i7-5650U @ 2.20GHz,4224,924
Intel Core i7-5675C @ 3.10GHz,8164,425
Intel Core i7-5700EQ @ 2.60GHz,8239,418
Intel Core i7-5700HQ @ 2.70GHz,8369,410
Intel Core i7-5775C @ 3.30GHz,10985,224
Intel Core i7-5775R @ 3.30GHz,10863,229
Intel Core i7-5820K @ 3.30GHz,12989,173
Intel Core i7-5850EQ @ 2.70GHz,9817,293
Intel Core i7-5850HQ @ 2.70GHz,9459,322
Intel Core i7-5930K @ 3.50GHz,13632,158
Intel Core i7-5950HQ @ 2.90GHz,10932,225
Intel Core i7-5960X @ 3.00GHz,15949,102
Intel Core i7-640M @ 2.80GHz,2833,1285
Intel Core i7-6498DU @ 2.50GHz,4538,864
Intel Core i7-6500U @ 2.50GHz,4428,881
Intel Core i7-6560U @ 2.20GHz,4819,809
Intel Core i7-6567U @ 3.30GHz,5648,676
Intel Core i7-6600U @ 2.60GHz,4804,812
Intel Core i7-6650U @ 2.20GHz,4955,786
Intel Core i7-6700 @ 3.40GHz,10008,280
Intel Core i7-6700HQ @ 2.60GHz,8134,429
Intel Core i7-6700K @ 4.00GHz,11109,216
Intel Core i7-6700T @ 2.80GHz,9035,359
Intel Core i7-6700TE @ 2.40GHz,8696,391
Intel Core i7-6770HQ @ 2.60GHz,9720,302
Intel Core i7-6800K @ 3.40GHz,13594,162
Intel Core i7-6820EQ @ 2.80GHz,8968,367
Intel Core i7-6820HK @ 2.70GHz,9119,351
Intel Core i7-6820HQ @ 2.70GHz,8782,385
Intel Core i7-6822EQ @ 2.00GHz,6427,595
Intel Core i7-6850K @ 3.60GHz,14373,137
Intel Core i7-6900K @ 3.20GHz,17692,69
Intel Core i7-6920HQ @ 2.90GHz,9615,309
Intel Core i7-6950X @ 3.00GHz,19957,43
Intel Core i7-720QM @ 1.60GHz,3012,1225
Intel Core i7-740QM @ 1.73GHz,3199,1166
Intel Core i7-7500U @ 2.70GHz,5167,741
Intel Core i7-7560U @ 2.40GHz,5861,646
Intel Core i7-7567U @ 3.50GHz,6502,583
Intel Core i7-7600U @ 2.80GHz,5121,746
Intel Core i7-7660U @ 2.50GHz,6042,630
Intel Core i7-7700 @ 3.60GHz,10742,234
Intel Core i7-7700HQ @ 2.80GHz,8833,382
Intel Core i7-7700K @ 4.20GHz,12038,198
Intel Core i7-7700T @ 2.90GHz,9214,343
Intel Core i7-7740X @ 4.30GHz,12266,190
Intel Core i7-7800X @ 3.50GHz,14575,132
Intel Core i7-7820HK @ 2.90GHz,10025,275
Intel Core i7-7820HQ @ 2.90GHz,9323,335
Intel Core i7-7820X @ 3.60GHz,18543,61
Intel Core i7-7900X @ 3.30GHz,20046,42
Intel Core i7-7920HQ @ 3.10GHz,10062,272
Intel Core i7-7Y75 @ 1.30GHz,3764,1018
Intel Core i7-8086K @ 4.00GHz,16668,82
Intel Core i7-820QM @ 1.73GHz,3228,1155
Intel Core i7-840QM @ 1.87GHz,3405,1105
Intel Core i7-8500Y @ 1.50GHz,3590,1058
Intel Core i7-8550U @ 1.80GHz,8320,413
Intel Core i7-8559U @ 2.70GHz,12163,194
Intel Core i7-8565U @ 1.80GHz,9109,353
Intel Core i7-860 @ 2.80GHz,5008,776
Intel Core i7-860S @ 2.53GHz,4711,823
Intel Core i7-8650U @ 1.90GHz,8827,383
Intel Core i7-870 @ 2.93GHz,5340,720
Intel Core i7-8700 @ 3.20GHz,15139,121
Intel Core i7-8700K @ 3.70GHz,15956,101
Intel Core i7-8700T @ 2.40GHz,12543,185
Intel Core i7-8705G @ 3.10GHz,10076,271
Intel Core i7-8706G @ 3.10GHz,10510,243
Intel Core i7-8709G @ 3.10GHz,9536,313
Intel Core i7-870S @ 2.67GHz,4969,782
Intel Core i7-8750H @ 2.20GHz,12456,186
Intel Core i7-875K @ 2.93GHz,5429,704
Intel Core i7-880 @ 3.07GHz,5595,683
Intel Core i7-8809G @ 3.10GHz,11077,220
Intel Core i7-8850H @ 2.60GHz,13189,170
Intel Core i7-920 @ 2.67GHz,4925,793
Intel Core i7-920XM @ 2.00GHz,3755,1021
Intel Core i7-930 @ 2.80GHz,5143,743
Intel Core i7-940 @ 2.93GHz,5355,716
Intel Core i7-940XM @ 2.13GHz,3945,980
Intel Core i7-950 @ 3.07GHz,5555,686
Intel Core i7-960 @ 3.20GHz,5814,653
Intel Core i7-965 @ 3.20GHz,5856,648
Intel Core i7-970 @ 3.20GHz,8373,409
Intel Core i7-9700K @ 3.60GHz,17348,73
Intel Core i7-975 @ 3.33GHz,6129,621
Intel Core i7-980 @ 3.33GHz,8665,396
Intel Core i7-9800X @ 3.80GHz,20283,38
Intel Core i7-980X @ 3.33GHz,8779,386
Intel Core i7-985 @ 3.47GHz,6641,572
Intel Core i7-990X @ 3.47GHz,9083,355
Intel Core i7-995X @ 3.60GHz,9791,295
Intel Core i9-7900X @ 3.30GHz,21958,24
Intel Core i9-7920X @ 2.90GHz,23203,18
Intel Core i9-7940X @ 3.10GHz,25468,10
Intel Core i9-7960X @ 2.80GHz,25620,9
Intel Core i9-7980XE @ 2.60GHz,27823,5
Intel Core i9-8950HK @ 2.90GHz,14526,134
Intel Core i9-9820X @ 3.30GHz,22508,21
Intel Core i9-9900K @ 3.60GHz,20174,40
Intel Core i9-9940X @ 3.30GHz,28121,3
Intel Core i9-9980XE @ 3.00GHz,30805,1
Intel Core M-5Y10c @ 0.80GHz,2813,1293
Intel Core M-5Y70 @ 1.10GHz,3016,1223
Intel Core M-5Y71 @ 1.20GHz,2988,1235
Intel Core m3-6Y30 @ 0.90GHz,3051,1212
Intel Core m3-7Y30 @ 1.00GHz,3552,1071
Intel Core m3-8100Y @ 1.10GHz,3258,1143
Intel Core m5-6Y54 @ 1.10GHz,3364,1120
Intel Core m5-6Y57 @ 1.10GHz,3244,1149
Intel Core m7-6Y75 @ 1.20GHz,3486,1088
Intel Core2 Extreme Q6800 @ 2.93GHz,3651,1048
Intel Core2 Extreme Q6850 @ 3.00GHz,3635,1050
Intel Core2 Extreme Q9300 @ 2.53GHz,3459,1095
Intel Core2 Extreme X9650 @ 3.00GHz,4162,936
Intel Core2 Extreme X9750 @ 3.16GHz,4504,867
Intel Core2 Extreme X9770 @ 3.20GHz,4611,844
Intel Core2 Extreme X9775 @ 3.20GHz,4646,835
Intel Core2 Quad Q6600 @ 2.40GHz,2954,1245
Intel Core2 Quad Q6700 @ 2.66GHz,3286,1138
Intel Core2 Quad Q8200 @ 2.33GHz,2812,1294
Intel Core2 Quad Q8300 @ 2.50GHz,2984,1237
Intel Core2 Quad Q8400 @ 2.66GHz,3167,1173
Intel Core2 Quad Q9100 @ 2.26GHz,3242,1152
Intel Core2 Quad Q9300 @ 2.50GHz,3160,1179
Intel Core2 Quad Q9400 @ 2.66GHz,3344,1125
Intel Core2 Quad Q9450 @ 2.66GHz,3761,1019
Intel Core2 Quad Q9500 @ 2.83GHz,3548,1074
Intel Core2 Quad Q9505 @ 2.83GHz,3569,1066
Intel Core2 Quad Q9550 @ 2.83GHz,3972,971
Intel Core2 Quad Q9650 @ 3.00GHz,4169,934
Intel Core2 Quad Q9705 @ 3.16GHz,3947,977
Intel Pentium 1403 v2 @ 2.60GHz,3018,1222
Intel Pentium 4405U @ 2.10GHz,2924,1257
Intel Pentium 4415U @ 2.30GHz,3142,1186
Intel Pentium D1508 @ 2.20GHz,3813,1006
Intel Pentium G2030 @ 3.00GHz,2870,1278
Intel Pentium G2100T @ 2.60GHz,2802,1299
Intel Pentium G2120 @ 3.10GHz,3081,1204
Intel Pentium G2130 @ 3.20GHz,3211,1163
Intel Pentium G2140 @ 3.30GHz,3384,1115
Intel Pentium G3220 @ 3.00GHz,3132,1189
Intel Pentium G3240 @ 3.10GHz,3159,1182
Intel Pentium G3240T @ 2.70GHz,2874,1277
Intel Pentium G3250 @ 3.20GHz,3254,1144
Intel Pentium G3250T @ 2.80GHz,2968,1240
Intel Pentium G3258 @ 3.20GHz,3886,987
Intel Pentium G3260 @ 3.30GHz,3370,1118
Intel Pentium G3260T @ 2.90GHz,2930,1253
Intel Pentium G3420 @ 3.20GHz,3400,1108
Intel Pentium G3420T @ 2.70GHz,3008,1226
Intel Pentium G3430 @ 3.30GHz,3395,1112
Intel Pentium G3440 @ 3.30GHz,3304,1134
Intel Pentium G3440T @ 2.80GHz,3101,1198
Intel Pentium G3450 @ 3.40GHz,3700,1037
Intel Pentium G3450T @ 2.90GHz,2967,1242
Intel Pentium G3460 @ 3.50GHz,3593,1056
Intel Pentium G3470 @ 3.60GHz,3717,1030
Intel Pentium G4400 @ 3.30GHz,3555,1069
Intel Pentium G4400T @ 2.90GHz,3219,1160
Intel Pentium G4400TE @ 2.40GHz,2885,1275
Intel Pentium G4500 @ 3.50GHz,3796,1009
Intel Pentium G4500T @ 3.00GHz,3471,1092
Intel Pentium G4520 @ 3.60GHz,4184,932
Intel Pentium G4560 @ 3.50GHz,4871,800
Intel Pentium G4560T @ 2.90GHz,4076,950
Intel Pentium G4600 @ 3.60GHz,5091,753
Intel Pentium G4600T @ 3.00GHz,4272,914
Intel Pentium G4620 @ 3.70GHz,5207,733
Intel Pentium G870 @ 3.10GHz,2829,1286
Intel Pentium Gold G5400 @ 3.70GHz,5185,739
Intel Pentium Gold G5400T @ 3.10GHz,5048,766
Intel Pentium Gold G5500 @ 3.80GHz,5241,730
Intel Pentium Gold G5500T @ 3.20GHz,4218,926
Intel Pentium Gold G5600 @ 3.90GHz,5696,667
Intel Pentium Silver J5005 @ 1.50GHz,2902,1269
Intel Xeon Bronze 3104 @ 1.70GHz,5664,673
Intel Xeon D-1518 @ 2.20GHz,5322,722
Intel Xeon D-1520 @ 2.20GHz,5755,660
Intel Xeon D-1521 @ 2.40GHz,6980,542
Intel Xeon D-1528 @ 1.90GHz,7946,448
Intel Xeon D-1531 @ 2.20GHz,9730,301
Intel Xeon D-1537 @ 1.70GHz,7731,469
Intel Xeon D-1540 @ 2.00GHz,10573,241
Intel Xeon D-1541 @ 2.10GHz,11069,221
Intel Xeon D-1559 @ 1.50GHz,8055,436
Intel Xeon D-1567 @ 2.10GHz,14693,127
Intel Xeon D-1587 @ 1.70GHz,13950,149
Intel Xeon D-2123IT @ 2.20GHz,8140,428
Intel Xeon D-2143IT @ 2.20GHz,13816,151
Intel Xeon D-2183IT @ 2.20GHz,18627,58
Intel Xeon E-2104G @ 3.20GHz,7825,458
Intel Xeon E-2124G @ 3.40GHz,9840,291
Intel Xeon E-2136 @ 3.30GHz,15338,115
Intel Xeon E-2146G @ 3.50GHz,16044,99
Intel Xeon E-2174G @ 3.80GHz,12108,197
Intel Xeon E-2176G @ 3.70GHz,15335,116
Intel Xeon E-2176M @ 2.70GHz,13971,148
Intel Xeon E-2186G @ 3.80GHz,15406,112
Intel Xeon E-2186M @ 2.90GHz,14431,135
Intel Xeon E3-1220 @ 3.10GHz,6097,624
Intel Xeon E3-1220 V2 @ 3.10GHz,6675,568
Intel Xeon E3-1220 v3 @ 3.10GHz,7104,528
Intel Xeon E3-1220 v5 @ 3.00GHz,7740,467
Intel Xeon E3-1220 v6 @ 3.00GHz,7976,445
Intel Xeon E3-1220L @ 2.20GHz,3563,1067
Intel Xeon E3-1220L V2 @ 2.30GHz,4419,883
Intel Xeon E3-1225 @ 3.10GHz,5909,643
Intel Xeon E3-1225 V2 @ 3.20GHz,6873,551
Intel Xeon E3-1225 v3 @ 3.20GHz,7208,517
Intel Xeon E3-1225 v5 @ 3.30GHz,7838,457
Intel Xeon E3-1225 v6 @ 3.30GHz,8144,427
Intel Xeon E3-1226 v3 @ 3.30GHz,7530,486
Intel Xeon E3-1230 @ 3.20GHz,7848,456
Intel Xeon E3-1230 V2 @ 3.30GHz,8856,378
Intel Xeon E3-1230 v3 @ 3.30GHz,9322,336
Intel Xeon E3-1230 v5 @ 3.40GHz,9778,298
Intel Xeon E3-1230 v6 @ 3.50GHz,9644,307
Intel Xeon E3-1230L v3 @ 1.80GHz,7231,516
Intel Xeon E3-1231 v3 @ 3.40GHz,9629,308
Intel Xeon E3-1235 @ 3.20GHz,7680,474
Intel Xeon E3-1235L v5 @ 2.00GHz,6470,589
Intel Xeon E3-1240 @ 3.30GHz,7958,447
Intel Xeon E3-1240 V2 @ 3.40GHz,9138,348
Intel Xeon E3-1240 v3 @ 3.40GHz,9660,306
Intel Xeon E3-1240 v5 @ 3.50GHz,10400,246
Intel Xeon E3-1240 v6 @ 3.70GHz,10148,260
Intel Xeon E3-1240L v3 @ 2.00GHz,7510,487
Intel Xeon E3-1240L v5 @ 2.10GHz,7793,462
Intel Xeon E3-1241 v3 @ 3.50GHz,10015,278
Intel Xeon E3-1245 @ 3.30GHz,8019,441
Intel Xeon E3-1245 V2 @ 3.40GHz,9126,350
Intel Xeon E3-1245 v3 @ 3.40GHz,9581,311
Intel Xeon E3-1245 v5 @ 3.50GHz,10186,258
Intel Xeon E3-1245 v6 @ 3.70GHz,10575,240
Intel Xeon E3-1246 v3 @ 3.50GHz,9856,290
Intel Xeon E3-1260L @ 2.40GHz,6534,581
Intel Xeon E3-1260L v5 @ 2.90GHz,10083,268
Intel Xeon E3-1265L @ 2.40GHz,6038,631
Intel Xeon E3-1265L V2 @ 2.50GHz,7785,463
Intel Xeon E3-1265L v3 @ 2.50GHz,9210,344
Intel Xeon E3-1265L v4 @ 2.30GHz,9060,357
Intel Xeon E3-1268L v3 @ 2.30GHz,7850,455
Intel Xeon E3-1268L v5 @ 2.40GHz,8695,392
Intel Xeon E3-1270 @ 3.40GHz,8238,419
Intel Xeon E3-1270 V2 @ 3.50GHz,9470,320
Intel Xeon E3-1270 v3 @ 3.50GHz,9898,287
Intel Xeon E3-1270 v5 @ 3.60GHz,10334,252
Intel Xeon E3-1270 v6 @ 3.80GHz,11135,214
Intel Xeon E3-1271 v3 @ 3.60GHz,10087,267
Intel Xeon E3-1275 @ 3.40GHz,8348,411
Intel Xeon E3-1275 V2 @ 3.50GHz,9445,327
Intel Xeon E3-1275 v3 @ 3.50GHz,9901,285
Intel Xeon E3-1275 v5 @ 3.60GHz,10358,250
Intel Xeon E3-1275 v6 @ 3.80GHz,11113,215
Intel Xeon E3-1275L v3 @ 2.70GHz,8874,377
Intel Xeon E3-1276 v3 @ 3.60GHz,10170,259
Intel Xeon E3-1280 @ 3.50GHz,8473,404
Intel Xeon E3-1280 V2 @ 3.60GHz,9447,325
Intel Xeon E3-1280 v3 @ 3.60GHz,9747,300
Intel Xeon E3-1280 v5 @ 3.70GHz,10666,237
Intel Xeon E3-1280 v6 @ 3.90GHz,11371,209
Intel Xeon E3-1281 v3 @ 3.70GHz,10349,251
Intel Xeon E3-1285 v3 @ 3.60GHz,10359,249
Intel Xeon E3-1285 v4 @ 3.50GHz,10641,238
Intel Xeon E3-1285 v6 @ 4.10GHz,11955,202
Intel Xeon E3-1285L v3 @ 3.10GHz,9981,282
Intel Xeon E3-1285L v4 @ 3.40GHz,11048,222
Intel Xeon E3-1286 v3 @ 3.70GHz,9899,286
Intel Xeon E3-1286L v3 @ 3.20GHz,9495,316
Intel Xeon E3-1290 @ 3.60GHz,8699,390
Intel Xeon E3-1290 V2 @ 3.70GHz,9709,304
Intel Xeon E3-1505L v5 @ 2.00GHz,7082,530
Intel Xeon E3-1505M v5 @ 2.80GHz,8922,374
Intel Xeon E3-1505M v6 @ 3.00GHz,9868,289
Intel Xeon E3-1515M v5 @ 2.80GHz,10093,265
Intel Xeon E3-1535M v5 @ 2.90GHz,9319,337
Intel Xeon E3-1535M v6 @ 3.10GHz,10589,239
Intel Xeon E3-1545M v5 @ 2.90GHz,10451,245
Intel Xeon E3-1575M v5 @ 3.00GHz,10755,231
Intel Xeon E3-1585 v5 @ 3.50GHz,10743,233
Intel Xeon E3-1585L v5 @ 3.00GHz,10689,236
Intel Xeon E5-1410 @ 2.80GHz,7312,508
Intel Xeon E5-1410 v2 @ 2.80GHz,7430,497
Intel Xeon E5-1603 @ 2.80GHz,5551,687
Intel Xeon E5-1603 v3 @ 2.80GHz,6167,617
Intel Xeon E5-1603 v4 @ 2.80GHz,6420,596
Intel Xeon E5-1607 @ 3.00GHz,5857,647
Intel Xeon E5-1607 v2 @ 3.00GHz,6199,613
Intel Xeon E5-1607 v3 @ 3.10GHz,6947,543
Intel Xeon E5-1607 v4 @ 3.10GHz,7249,514
Intel Xeon E5-1620 @ 3.60GHz,9055,358
Intel Xeon E5-1620 v2 @ 3.70GHz,9460,321
Intel Xeon E5-1620 v3 @ 3.50GHz,9760,299
Intel Xeon E5-1620 v4 @ 3.50GHz,9922,283
Intel Xeon E5-1630 v3 @ 3.70GHz,10277,254
Intel Xeon E5-1630 v4 @ 3.70GHz,10302,253
Intel Xeon E5-1650 @ 3.20GHz,11744,205
Intel Xeon E5-1650 v2 @ 3.50GHz,12724,179
Intel Xeon E5-1650 v3 @ 3.50GHz,13613,161
Intel Xeon E5-1650 v4 @ 3.60GHz,14242,140
Intel Xeon E5-1660 @ 3.30GHz,12364,187
Intel Xeon E5-1660 v2 @ 3.70GHz,13762,154
Intel Xeon E5-1660 v3 @ 3.00GHz,14565,133
Intel Xeon E5-1660 v4 @ 3.20GHz,16192,96
Intel Xeon E5-1680 v2 @ 3.00GHz,16345,89
Intel Xeon E5-1680 v3 @ 3.20GHz,16459,85
Intel Xeon E5-1680 v4 @ 3.40GHz,17093,75
Intel Xeon E5-1681 v3 @ 2.90GHz,18238,65
Intel Xeon E5-2403 @ 1.80GHz,3523,1079
Intel Xeon E5-2403 v2 @ 1.80GHz,3418,1103
Intel Xeon E5-2407 @ 2.20GHz,4027,960
Intel Xeon E5-2407 v2 @ 2.40GHz,4498,868
Intel Xeon E5-2418L @ 2.00GHz,5202,734
Intel Xeon E5-2420 @ 1.90GHz,7045,534
Intel Xeon E5-2420 v2 @ 2.20GHz,8629,398
Intel Xeon E5-2430 @ 2.20GHz,6878,550
Intel Xeon E5-2430 v2 @ 2.50GHz,8833,381
Intel Xeon E5-2430L @ 2.00GHz,7269,513
Intel Xeon E5-2430L v2 @ 2.40GHz,6627,574
Intel Xeon E5-2440 @ 2.40GHz,9178,345
Intel Xeon E5-2440 v2 @ 1.90GHz,9425,328
Intel Xeon E5-2448L v2 @ 1.80GHz,8954,369
Intel Xeon E5-2450 @ 2.10GHz,10186,257
Intel Xeon E5-2450L @ 1.80GHz,8261,415
Intel Xeon E5-2470 @ 2.30GHz,10061,273
Intel Xeon E5-2470 v2 @ 2.40GHz,12836,175
Intel Xeon E5-2603 @ 1.80GHz,3580,1064
Intel Xeon E5-2603 v2 @ 1.80GHz,3766,1017
Intel Xeon E5-2603 v3 @ 1.60GHz,5172,740
Intel Xeon E5-2603 v4 @ 1.70GHz,5451,700
Intel Xeon E5-2608L v3 @ 2.00GHz,7857,454
Intel Xeon E5-2609 @ 2.40GHz,4616,842
Intel Xeon E5-2609 v2 @ 2.50GHz,5149,742
Intel Xeon E5-2609 v3 @ 1.90GHz,5940,640
Intel Xeon E5-2609 v4 @ 1.70GHz,6915,548
Intel Xeon E5-2618L v3 @ 2.30GHz,12186,193
Intel Xeon E5-2618L v4 @ 2.20GHz,14592,131
Intel Xeon E5-2620 @ 2.00GHz,7919,451
Intel Xeon E5-2620 v2 @ 2.10GHz,8702,389
Intel Xeon E5-2620 v3 @ 2.40GHz,10020,277
Intel Xeon E5-2620 v4 @ 2.10GHz,11364,210
Intel Xeon E5-2623 v3 @ 3.00GHz,8937,372
Intel Xeon E5-2623 v4 @ 2.60GHz,8208,421
Intel Xeon E5-2628L v2 @ 1.90GHz,9405,330
Intel Xeon E5-2628L v3 @ 2.00GHz,11965,201
Intel Xeon E5-2628L v4 @ 1.90GHz,13268,168
Intel Xeon E5-2629 v3 @ 2.40GHz,11022,223
Intel Xeon E5-2630 @ 2.30GHz,8877,376
Intel Xeon E5-2630 v2 @ 2.60GHz,10385,248
Intel Xeon E5-2630 v3 @ 2.40GHz,12797,177
Intel Xeon E5-2630 v4 @ 2.20GHz,13884,150
Intel Xeon E5-2630L @ 2.00GHz,7865,453
Intel Xeon E5-2630L v2 @ 2.40GHz,9006,365
Intel Xeon E5-2630L v3 @ 1.80GHz,9476,319
Intel Xeon E5-2630L v4 @ 1.80GHz,12847,174
Intel Xeon E5-2637 v2 @ 3.50GHz,9447,326
Intel Xeon E5-2637 v3 @ 3.50GHz,10144,261
Intel Xeon E5-2637 v4 @ 3.50GHz,10468,244
Intel Xeon E5-2640 @ 2.50GHz,9512,315
Intel Xeon E5-2640 v2 @ 2.00GHz,10009,279
Intel Xeon E5-2640 v3 @ 2.60GHz,13978,147
Intel Xeon E5-2640 v4 @ 2.40GHz,15329,117
Intel Xeon E5-2643 @ 3.30GHz,8423,407
Intel Xeon E5-2643 v2 @ 3.50GHz,12824,176
Intel Xeon E5-2643 v3 @ 3.40GHz,13801,152
Intel Xeon E5-2643 v4 @ 3.40GHz,13618,160
Intel Xeon E5-2648L @ 1.80GHz,7426,498
Intel Xeon E5-2648L v3 @ 1.80GHz,11392,208
Intel Xeon E5-2648L v4 @ 1.80GHz,13654,157
Intel Xeon E5-2649 v3 @ 2.30GHz,14677,129
Intel Xeon E5-2650 @ 2.00GHz,10129,263
Intel Xeon E5-2650 v2 @ 2.60GHz,13078,171
Intel Xeon E5-2650 v3 @ 2.30GHz,14841,126
Intel Xeon E5-2650 v4 @ 2.20GHz,15912,104
Intel Xeon E5-2650L @ 1.80GHz,8676,395
Intel Xeon E5-2650L v3 @ 1.80GHz,13513,164
Intel Xeon E5-2650L v4 @ 1.70GHz,14093,144
Intel Xeon E5-2651 v2 @ 1.80GHz,11275,212
Intel Xeon E5-2658 @ 2.10GHz,9484,318
Intel Xeon E5-2658 v2 @ 2.40GHz,14128,143
Intel Xeon E5-2658 v3 @ 2.20GHz,16298,94
Intel Xeon E5-2658 v4 @ 2.30GHz,16754,81
Intel Xeon E5-2660 @ 2.20GHz,11098,218
Intel Xeon E5-2660 v2 @ 2.20GHz,13372,167
Intel Xeon E5-2660 v3 @ 2.60GHz,16184,97
Intel Xeon E5-2660 v4 @ 2.00GHz,17069,77
Intel Xeon E5-2663 v3 @ 2.80GHz,13994,146
Intel Xeon E5-2665 @ 2.40GHz,11599,207
Intel Xeon E5-2667 @ 2.90GHz,10400,247
Intel Xeon E5-2667 v2 @ 3.30GHz,16256,95
Intel Xeon E5-2667 v3 @ 3.20GHz,16119,98
Intel Xeon E5-2667 v4 @ 3.20GHz,16447,86
Intel Xeon E5-2670 @ 2.60GHz,12137,195
Intel Xeon E5-2670 v2 @ 2.50GHz,14966,125
