name,score,rank
AMD Opteron 6164 HE,5351,717
AMD Opteron 6174,6171,615
AMD Opteron 6176 SE,5446,701
AMD Opteron 6212,5776,657
AMD Opteron 6220,6785,556
AMD Opteron 6234,5979,635
AMD Opteron 6238,7673,476
AMD Opteron 6272,6748,563
AMD Opteron 6274,4865,801
AMD Opteron 6276,9011,363
AMD Opteron 6282 SE,9116,352
AMD Opteron 6287 SE,9789,296
AMD Opteron 6328,7813,459
AMD Opteron 6366 HE,7503,489
AMD Opteron 6376,9414,329
AMD Opteron 6380,10081,269
AMD Opteron 6386 SE,10748,232
AMD Opteron 8439 SE,3813,1005
AMD Opteron X2170 APU,3059,1211
AMD Opteron X3421 APU,4899,795
AMD Phenom 2 X4 12000,3005,1228
AMD Phenom 7950 Quad-Core,2991,1234
AMD Phenom 9750 Quad-Core,2810,1296
AMD Phenom 9850 Quad-Core,2893,1272
AMD Phenom 9850B Quad-Core,3160,1180
AMD Phenom 9950 Quad-Core,3012,1224
AMD Phenom FX-5200 Quad-Core,2948,1247
AMD Phenom FX-7750 Quad-Core,3616,1052
AMD Phenom II 42 TWKR Black Edition,3489,1086
AMD Phenom II X3 740,2994,1232
AMD Phenom II X3 B75,2929,1255
AMD Phenom II X3 B77,3067,1208
AMD Phenom II X4 805,2994,1233
AMD Phenom II X4 810,3124,1190
AMD Phenom II X4 820,3400,1107
AMD Phenom II X4 830,3434,1099
AMD Phenom II X4 840,3510,1082
AMD Phenom II X4 840T,3601,1055
AMD Phenom II X4 850,3547,1075
AMD Phenom II X4 900e,2882,1276
AMD Phenom II X4 905e,3087,1201
AMD Phenom II X4 910,3252,1146
AMD Phenom II X4 910e,3253,1145
AMD Phenom II X4 920,3399,1110
AMD Phenom II X4 925,3421,1102
AMD Phenom II X4 940,3591,1057
AMD Phenom II X4 945,3660,1047
AMD Phenom II X4 955,3930,984
AMD Phenom II X4 960T,3787,1012
AMD Phenom II X4 965,4191,930
AMD Phenom II X4 970,4327,904
AMD Phenom II X4 973,3759,1020
AMD Phenom II X4 975,4459,875
AMD Phenom II X4 977,3750,1024
AMD Phenom II X4 980,4493,870
AMD Phenom II X4 B25,3330,1127
AMD Phenom II X4 B35,3383,1116
AMD Phenom II X4 B40,3393,1113
AMD Phenom II X4 B45,3467,1094
AMD Phenom II X4 B50,3702,1035
AMD Phenom II X4 B55,3859,992
AMD Phenom II X4 B60,4043,954
AMD Phenom II X4 B65,4177,933
AMD Phenom II X4 B70,4261,919
AMD Phenom II X4 B93,3355,1122
AMD Phenom II X4 B95,3694,1039
AMD Phenom II X4 B97,3875,989
AMD Phenom II X4 B99,4130,944
AMD Phenom II X6 1035T,4656,833
AMD Phenom II X6 1045T,4817,810
AMD Phenom II X6 1055T,4964,783
AMD Phenom II X6 1065T,5064,762
AMD Phenom II X6 1075T,5341,719
AMD Phenom II X6 1090T,5583,684
AMD Phenom II X6 1100T,5727,664
AMD Phenom II X6 1405T,5042,769
AMD Phenom Ultra X4 24500,3945,979
AMD Phenom X4 Quad-Core GP-9730,2812,1295
AMD PRO A10-8700B,3583,1063
AMD PRO A10-8730B,3971,973
AMD PRO A10-8750B,5646,677
AMD PRO A10-8770,5707,666
AMD PRO A10-8770E,5045,768
AMD PRO A10-8850B,5852,649
AMD PRO A10-9700,5677,671
AMD PRO A10-9700B,4393,888
AMD PRO A10-9700E,4922,794
AMD PRO A12-8800B,4154,938
AMD PRO A12-8830B,4325,905
AMD PRO A12-8870,6067,628
AMD PRO A12-8870E,5186,738
AMD PRO A12-9800,6199,612
AMD PRO A12-9800B,4158,937
AMD PRO A12-9800E,4788,816
AMD PRO A6-8550B,2985,1236
AMD PRO A6-8570,3049,1215
AMD PRO A6-8570E,2824,1288
AMD PRO A6-9500,3239,1153
AMD PRO A8-8600B,3553,1070
AMD PRO A8-8650B,5426,706
AMD PRO A8-8670E,5015,773
AMD PRO A8-9600,5296,727
AMD PRO A8-9600B,4004,964
AMD R-464L APU,3117,1192
AMD RX-427BB,4317,908
AMD Ryzen 3 1200,6741,564
AMD Ryzen 3 1300X,7467,491
AMD Ryzen 3 2200G,7327,506
AMD Ryzen 3 2200GE,7124,526
AMD Ryzen 3 2200U,4469,874
AMD Ryzen 3 2300U,6209,610
AMD Ryzen 3 PRO 1200,7069,533
AMD Ryzen 3 PRO 1300,8022,440
AMD Ryzen 3 PRO 2200G,8106,432
AMD Ryzen 3 PRO 2200GE,7975,446
AMD Ryzen 3 PRO 2300U,7188,520
AMD Ryzen 5 1400,8375,408
AMD Ryzen 5 1500X,10080,270
AMD Ryzen 5 1600,12266,191
AMD Ryzen 5 1600X,13232,169
AMD Ryzen 5 2400G,9293,339
AMD Ryzen 5 2400GE,7932,449
AMD Ryzen 5 2500U,7323,507
AMD Ryzen 5 2600,13536,163
AMD Ryzen 5 2600X,14343,138
AMD Ryzen 5 PRO 1500,10118,264
AMD Ryzen 5 PRO 1600,12213,192
AMD Ryzen 5 PRO 2400G,10046,274
AMD Ryzen 5 PRO 2400GE,9376,332
AMD Ryzen 5 PRO 2500U,8837,380
AMD Ryzen 5 PRO 2600,14645,130
AMD Ryzen 7 1700,13749,155
AMD Ryzen 7 1700X,14681,128
AMD Ryzen 7 1800X,15384,113
AMD Ryzen 7 2700,14998,124
AMD Ryzen 7 2700U,7357,503
AMD Ryzen 7 2700X,16969,78
AMD Ryzen 7 PRO 1700,14171,142
AMD Ryzen 7 PRO 1700X,15349,114
AMD Ryzen 7 PRO 2700,15897,105
AMD Ryzen 7 PRO 2700U,9009,364
AMD Ryzen 7 PRO 2700X,17276,74
AMD Ryzen Embedded V1202B,5051,765
AMD Ryzen Embedded V1605B,7667,477
AMD Ryzen Embedded V1807B,7185,521
AMD Ryzen Threadripper 1900X,15938,103
AMD Ryzen Threadripper 1920X,18987,55
AMD Ryzen Threadripper 1950X,22082,23
AMD Ryzen Threadripper 2920X,20660,37
AMD Ryzen Threadripper 2950X,26038,8
AMD Ryzen Threadripper 2970WX,18726,57
AMD Ryzen Threadripper 2990WX,24172,15
AMD Ryzen Threadripper 2990X,18311,64
Celeron Dual-Core Q8300 @ 2.50GHz,2837,1284
Intel Atom C2750 @ 2.40GHz,3806,1008
Intel Atom C2750 @ 2.41GHz,3344,1124
Intel Atom C2758 @ 2.40GHz,3162,1177
Intel Atom C3858 @ 2.00GHz,4852,805
Intel Celeron G1840 @ 2.80GHz,2860,1281
Intel Celeron G1850 @ 2.90GHz,2907,1262
Intel Celeron G3900 @ 2.80GHz,3150,1185
Intel Celeron G3900T @ 2.60GHz,2919,1259
Intel Celeron G3920 @ 2.90GHz,3113,1193
Intel Celeron G3930 @ 2.90GHz,3041,1218
Intel Celeron G3950 @ 3.00GHz,3006,1227
Intel Celeron G4900 @ 3.10GHz,3284,1139
Intel Celeron G4900T @ 2.90GHz,2960,1244
Intel Celeron G4920 @ 3.20GHz,3302,1135
Intel Core 860 @ 2.80GHz,4555,855
Intel Core i3-2100 @ 3.10GHz,3688,1042
Intel Core i3-2100T @ 2.50GHz,2941,1249
Intel Core i3-2102 @ 3.10GHz,3736,1028
Intel Core i3-2105 @ 3.10GHz,3704,1034
Intel Core i3-2120 @ 3.30GHz,3925,985
Intel Core i3-2120T @ 2.60GHz,3160,1181
Intel Core i3-2125 @ 3.30GHz,4028,959
Intel Core i3-2130 @ 3.40GHz,4062,952
Intel Core i3-2140 @ 3.50GHz,4325,906
Intel Core i3-2310E @ 2.10GHz,2839,1283
Intel Core i3-2330E @ 2.20GHz,3073,1206
Intel Core i3-3110M @ 2.40GHz,3075,1205
Intel Core i3-3120M @ 2.50GHz,3217,1161
Intel Core i3-3130M @ 2.60GHz,3405,1104
Intel Core i3-3210 @ 3.20GHz,4032,958
Intel Core i3-3220 @ 3.30GHz,4237,923
Intel Core i3-3220T @ 2.80GHz,3698,1038
Intel Core i3-3225 @ 3.30GHz,4338,900
Intel Core i3-3240 @ 3.40GHz,4307,910
Intel Core i3-3240T @ 2.90GHz,3686,1043
Intel Core i3-3245 @ 3.40GHz,4429,880
Intel Core i3-3250 @ 3.50GHz,4446,876
Intel Core i3-3250T @ 3.00GHz,3021,1221
Intel Core i3-4000M @ 2.40GHz,3243,1150
Intel Core i3-4100M @ 2.50GHz,3471,1091
Intel Core i3-4110M @ 2.60GHz,3873,990
Intel Core i3-4110U @ 1.90GHz,2902,1268
Intel Core i3-4120U @ 2.00GHz,3050,1213
Intel Core i3-4130 @ 3.40GHz,4797,815
Intel Core i3-4130T @ 2.90GHz,4140,942
Intel Core i3-4150 @ 3.50GHz,4891,796
Intel Core i3-4150T @ 3.00GHz,4267,917
Intel Core i3-4158U @ 2.00GHz,2914,1260
Intel Core i3-4160 @ 3.60GHz,5056,764
Intel Core i3-4160T @ 3.10GHz,4416,885
Intel Core i3-4170 @ 3.70GHz,5190,737
Intel Core i3-4170T @ 3.20GHz,4544,859
Intel Core i3-4330 @ 3.50GHz,5096,752
Intel Core i3-4330T @ 3.00GHz,4486,872
Intel Core i3-4330TE @ 2.40GHz,3201,1165
Intel Core i3-4340 @ 3.60GHz,5240,731
Intel Core i3-4350 @ 3.60GHz,4963,784
Intel Core i3-4350T @ 3.10GHz,4302,911
Intel Core i3-4360 @ 3.70GHz,5460,698
Intel Core i3-4360T @ 3.20GHz,4636,837
Intel Core i3-4370 @ 3.80GHz,5599,680
Intel Core i3-4370T @ 3.30GHz,4890,797
Intel Core i3-4570T @ 2.90GHz,4934,790
Intel Core i3-5005U @ 2.00GHz,2903,1266
Intel Core i3-5010U @ 2.10GHz,3049,1214
Intel Core i3-5015U @ 2.10GHz,3044,1217
Intel Core i3-5020U @ 2.20GHz,3181,1169
Intel Core i3-5157U @ 2.50GHz,3661,1046
Intel Core i3-550 @ 3.20GHz,2827,1287
Intel Core i3-560 @ 3.33GHz,2937,1252
Intel Core i3-6006U @ 2.00GHz,3088,1200
Intel Core i3-6098P @ 3.60GHz,5412,707
Intel Core i3-6100 @ 3.70GHz,5490,693
Intel Core i3-6100E @ 2.70GHz,3769,1016
Intel Core i3-6100H @ 2.70GHz,4246,922
Intel Core i3-6100T @ 3.20GHz,4861,803
Intel Core i3-6100TE @ 2.70GHz,4337,901
Intel Core i3-6100U @ 2.30GHz,3602,1054
Intel Core i3-6157U @ 2.40GHz,3835,999
Intel Core i3-6300 @ 3.80GHz,5851,650
Intel Core i3-6300T @ 3.30GHz,5249,729
Intel Core i3-6320 @ 3.90GHz,6047,629
Intel Core i3-7020U @ 2.30GHz,3538,1078
Intel Core i3-7100 @ 3.90GHz,5780,655
Intel Core i3-7100H @ 3.00GHz,4696,827
Intel Core i3-7100T @ 3.40GHz,5048,767
Intel Core i3-7100U @ 2.40GHz,3780,1014
Intel Core i3-7101TE @ 3.40GHz,5016,772
Intel Core i3-7130U @ 2.70GHz,4039,955
Intel Core i3-7167U @ 2.80GHz,4757,820
Intel Core i3-7300 @ 4.00GHz,6442,591
Intel Core i3-7300T @ 3.50GHz,5369,713
Intel Core i3-7320 @ 4.10GHz,6541,580
Intel Core i3-7350K @ 4.20GHz,6623,576
Intel Core i3-8100 @ 3.60GHz,8071,434
Intel Core i3-8100T @ 3.10GHz,7486,490
Intel Core i3-8109U @ 3.00GHz,6168,616
Intel Core i3-8121U @ 2.20GHz,5198,735
Intel Core i3-8130U @ 2.20GHz,5069,759
Intel Core i3-8145U @ 2.10GHz,5707,665
Intel Core i3-8300 @ 3.70GHz,8680,394
Intel Core i3-8300T @ 3.20GHz,7650,479
Intel Core i3-8350K @ 4.00GHz,9244,342
Intel Core i5-2300 @ 2.80GHz,5348,718
Intel Core i5-2310 @ 2.90GHz,5538,688
Intel Core i5-2320 @ 3.00GHz,5758,659
Intel Core i5-2380P @ 3.10GHz,5729,662
Intel Core i5-2390T @ 2.70GHz,4262,918
Intel Core i5-2400 @ 3.10GHz,5958,637
Intel Core i5-2400S @ 2.50GHz,4962,785
Intel Core i5-24050S @ 2.50GHz,4928,792
Intel Core i5-2405S @ 2.50GHz,5065,761
Intel Core i5-2410M @ 2.30GHz,3166,1176
Intel Core i5-2415M @ 2.30GHz,3299,1136
Intel Core i5-2430M @ 2.40GHz,3280,1140
Intel Core i5-2435M @ 2.40GHz,3239,1154
Intel Core i5-2450M @ 2.50GHz,3398,1111
Intel Core i5-2450P @ 3.20GHz,6144,619
Intel Core i5-2500 @ 3.30GHz,6330,603
Intel Core i5-2500K @ 3.30GHz,6476,588
Intel Core i5-2500S @ 2.70GHz,5313,725
Intel Core i5-2500T @ 2.30GHz,4608,847
Intel Core i5-2510E @ 2.50GHz,3676,1044
Intel Core i5-2515E @ 2.50GHz,3313,1130
Intel Core i5-2520M @ 2.50GHz,3588,1060
Intel Core i5-2540M @ 2.60GHz,3782,1013
Intel Core i5-2550K @ 3.40GHz,6664,570
Intel Core i5-2560M @ 2.70GHz,3752,1022
Intel Core i5-3210M @ 2.50GHz,3824,1003
Intel Core i5-3230M @ 2.60GHz,3939,981
Intel Core i5-3317U @ 1.70GHz,3088,1199
Intel Core i5-3320M @ 2.60GHz,4114,947
Intel Core i5-3330 @ 3.00GHz,5936,641
Intel Core i5-3330S @ 2.70GHz,5674,672
Intel Core i5-3335S @ 2.70GHz,5788,654
Intel Core i5-3337U @ 1.80GHz,3223,1157
Intel Core i5-3340 @ 3.10GHz,6089,625
Intel Core i5-3340M @ 2.70GHz,4255,920
Intel Core i5-3340S @ 2.80GHz,5846,651
Intel Core i5-3350P @ 3.10GHz,6144,618
Intel Core i5-3360M @ 2.80GHz,4422,882
Intel Core i5-3380M @ 2.90GHz,4431,879
Intel Core i5-3427U @ 1.80GHz,3550,1072
Intel Core i5-3437U @ 1.90GHz,3637,1049
Intel Core i5-3439Y @ 1.50GHz,2930,1254
Intel Core i5-3450 @ 3.10GHz,6524,582
Intel Core i5-3450S @ 2.80GHz,6212,609
Intel Core i5-3470 @ 3.20GHz,6700,567
Intel Core i5-3470S @ 2.90GHz,6362,602
Intel Core i5-3470T @ 2.90GHz,4480,873
Intel Core i5-3475S @ 2.90GHz,6625,575
Intel Core i5-3550 @ 3.30GHz,6946,544
Intel Core i5-3550S @ 3.00GHz,6910,549
Intel Core i5-3570 @ 3.40GHz,7112,527
Intel Core i5-3570K @ 3.40GHz,7172,523
Intel Core i5-3570S @ 3.10GHz,6753,562
Intel Core i5-3570T @ 2.30GHz,5901,644
Intel Core i5-3610ME @ 2.70GHz,3830,1000
Intel Core i5-4200H @ 2.80GHz,4435,878
Intel Core i5-4200M @ 2.50GHz,4036,956
Intel Core i5-4200U @ 1.60GHz,3291,1137
Intel Core i5-4210H @ 2.90GHz,4540,862
Intel Core i5-4210M @ 2.60GHz,4192,929
Intel Core i5-4210U @ 1.70GHz,3402,1106
Intel Core i5-4230U @ 1.90GHz,2902,1267
Intel Core i5-4250U @ 1.30GHz,3449,1096
Intel Core i5-4258U @ 2.40GHz,4078,949
Intel Core i5-4260U @ 1.40GHz,3560,1068
Intel Core i5-4278U @ 2.60GHz,4362,895
Intel Core i5-4288U @ 2.60GHz,4355,897
Intel Core i5-4300M @ 2.60GHz,4407,886
Intel Core i5-4300U @ 1.90GHz,3742,1026
Intel Core i5-4302Y @ 1.60GHz,2967,1241
Intel Core i5-4308U @ 2.80GHz,4219,925
Intel Core i5-4310M @ 2.70GHz,4624,841
Intel Core i5-4310U @ 2.00GHz,3752,1023
Intel Core i5-4330M @ 2.80GHz,4488,871
Intel Core i5-4340M @ 2.90GHz,4810,811
Intel Core i5-4350U @ 1.40GHz,3610,1053
Intel Core i5-4400E @ 2.70GHz,4548,858
Intel Core i5-4402E @ 1.60GHz,3947,978
Intel Core i5-4422E @ 1.80GHz,2806,1297
Intel Core i5-4430 @ 3.00GHz,6321,604
Intel Core i5-4430S @ 2.70GHz,5910,642
Intel Core i5-4440 @ 3.10GHz,6499,584
Intel Core i5-4440S @ 2.80GHz,6217,607
Intel Core i5-4460 @ 3.20GHz,6710,566
Intel Core i5-4460S @ 2.90GHz,6405,598
Intel Core i5-4460T @ 1.90GHz,4951,787
Intel Core i5-4570 @ 3.20GHz,7126,525
Intel Core i5-4570R @ 2.70GHz,6753,561
Intel Core i5-4570S @ 2.90GHz,6791,555
Intel Core i5-4570T @ 2.90GHz,4829,807
Intel Core i5-4570TE @ 2.70GHz,3827,1002
Intel Core i5-4590 @ 3.30GHz,7306,512
Intel Core i5-4590S @ 3.00GHz,7030,538
Intel Core i5-4590T @ 2.00GHz,5604,679
Intel Core i5-4670 @ 3.40GHz,7446,493
