,brand,core,clock(MHz),cuda_sp,video_interface,power_interface,legth(cm),warranty(years),price
61,技嘉 ,GTX 1050 Ti,1430,768,1*DVI-D / 1*HDMI / 1*DP,NO,19.1,4,5190
62,EVGA ,GTX 1050 Ti,1392,768,1*DVI-D / 1*HDMI / 1*DP,NO,14.5,5,4990
63,EVGA ,GTX 1050 Ti,1480,768,1*DVI-D / 1*HDMI / 1*DP,NO,22.9,5,6690
64,影馳 ,GTX 1050 Ti,1417,768,1*DVI-D / 1*HDMI / 1*DP,NO,18.1,3,4590
65,影馳 ,GTX 1050 Ti,1468,768,1*DVI-D / 1*HDMI / 1*DP,1*6pin,24.5,3,4590
66,INNO3D ,GTX 1050 Ti,1392,768,1*DVI-D / 1*HDMI / 1*DP,NO,14.5,3,4690
67,INNO3D ,GTX 1050 Ti,1392,768,1*DVI-D / 1*HDMI / 1*DP,NO,19.5,3,4990
68,ZOTAC ,GTX 1050 Ti,1417,768,1*DVI-D / 1*HDMI / 1*DP,NO,14.5,4,4890
69,ZOTAC ,GTX 1050 Ti,1506,768,1*DVI-D / 1*HDMI / 1*DP,NO,17.4,4,5290
70,華碩,GTX 1060,1708,1152,1*DVI-D / 2*HDMI / 2*DP,1*6pin,18.3,4,5890
71,華碩,GTX 1060,1708,1280,1*DVI-D / 2*HDMI / 2*DP,1*6pin,18.3,4,7890
72,華碩,GTX 1060,1708,1280,1*DVI-D / 2*HDMI / 2*DP,1*6pin,26.7,4,8190
73,華碩,GTX 1060,1785,1152,1*DVI-D / 2*HDMI / 2*DP,1*6pin,24.2,4,7290
74,華碩,GTX 1060,1785,1280,1*DVI-D / 2*HDMI / 2*DP,1*6pin,24.2,4,9590
75,華碩,GTX 1060,1708,1280,1*DVI-D / 1*HDMI / 3*DP,1*6pin,21.8,4,8690
76,華碩,GTX 1060,1785,1280,1*DVI-D / 2*HDMI / 2*DP,1*6pin,21.8,5,8880
77,華碩,GTX 1060,1733,1280,1*DVI / 2*HDMI / 2*DP,1*8pin,29.8,5,9890
78,微星 ,GTX 1060,1759,1152,1*DVI-D / 2*HDMI / 2*DP,1*6pin,17.5,4,5990
79,微星 ,GTX 1060,1759,1280,1*DVI-D / 2*HDMI / 2*DP,1*6pin,17.5,4,7990
80,微星 ,GTX 1060,1759,1152,1*DVI-D / 2*HDMI / 2*DP,1*6pin,27.5,4,7090
81,微星 ,GTX 1060,1759,1280,1*DVI-D / *HDMI / 1*DP,1*6pin,24.3,4,8890
82,微星 ,GTX 1060,1759,1280,1*DVI-D / 2*HDMI / 2*DP,1*6pin,27.7,4,9490
83,微星 ,GTX 1060,1784,1280,1*DVI-D / 2*HDMI / 2*DP,1*8pin,27.7,4,9990
84,技嘉 ,GTX 1060,1746,1280,1*DVI-D / 1*HDMI / 1*DP,1*6pin,16.9,4,6990
85,技嘉 ,GTX 1060,1797,1152,1*DVI-D / 1*HDMI / 1*DP,1*6pin,22.3,4,7050
86,技嘉 ,GTX 1060,1797,1280,1*DVI-D / 1*HDMI / 1*DP,1*6pin,22.3,4,8790
87,技嘉 ,GTX 1060,1809,1280,1*DVI-D / 1*HDMI / 3*DP,1*8pin,28.9,5,10390
88,EVGA ,GTX 1060,1708,1152,1*DVI-D / 1*HDMI / 3*DP,1*6pin,17.3,5,5790
89,EVGA ,GTX 1060,1835,1152,1*DVI-D / 1*HDMI / 3*DP,1*6pin,17.3,5,7890
90,EVGA ,GTX 1060,1708,1280,1*DVI-D / 1*HDMI / 3*DP,1*6pin,17.3,5,6990
