"43","GIGABYTE","GTX 1060","3G","1797","120","1152","1*DVI-D / 1*HDMI / 1*DP","1*6pin","22.3","4","7050","34","70.90","8"
"44","MSI","GTX 1060","3G","1759","120","1152","1*DVI-D / 2*HDMI / 2*DP","1*6pin","27.5","4","7090","34","70.90","8"
"45","ASUS","GTX 1060","3G","1785","120","1152","1*DVI-D / 2*HDMI / 2*DP","1*6pin","24.2","4","7290","40","66.40","10"
"46","GALAX","GTX 1060","3G","1771","120","1152","2*DVI-D / 1*HDMI / 1*DP","1*6pin","23.7","3","5490","40","66.40","10"
"47","EVGA","GTX 1060","3G","1835","120","1152","1*DVI-D / 1*HDMI / 3*DP","1*6pin","17.3","5","7890","40","66.40","10"
"48","INNO3D","GTX 1060","3G","1708","120","1152","2*DVI-D / 1*HDMI / 1*DP","1*6pin","22.0","3","5990","40","66.40","10"
"49","ZOTAC","GTX 1060","3G","1708","120","1280","1*DVI-D / 1*HDMI / 3*DP","1*6pin","17.4","4","6990","40","66.40","10"
"5","ZOTAC","GT 1030","2G","1468","35","384","1*VGA / 1*HDMI","NO","16.9","4","2790","140","18.30","15"
"50","ASUS","GTX 1060","6G","1733","120","1280","1*DVI / 2*HDMI / 2*DP","1*8pin","29.8","5","9890","34","70.90","8"
"51","GIGABYTE","GTX 1060","6G","1797","120","1280","1*DVI-D / 1*HDMI / 1*DP","1*6pin","22.3","4","8790","34","70.90","8"
"52","MSI","GTX 1060","6G","1759","120","1280","1*DVI-D / 2*HDMI / 2*DP","1*6pin","27.7","4","9490","34","70.90","8"
"53","GALAX","GTX 1060","6G","1771","120","1280","2*DVI-D / 1*HDMI / 1*DP","1*6pin","23.7","3","6690","34","70.90","8"
"54","EVGA","GTX 1060","6G","1835","120","1280","1*DVI-D / 1*HDMI / 3*DP","1*8pin","26.7","5","7990","34","70.90","8"
"55","INNO3D","GTX 1060","6G","1771","120","1280","2*DVI-D / 1*HDMI / 1*DP","1*8pin","30.2","4","9990","34","70.90","8"
"56","ZOTAC","GTX 1060","6G","1771","120","1280","1*DVI-D / 1*HDMI / 3*DP","1*6pin","21.0","4","7880","34","70.90","8"
"57","GIGABYTE","GTX 1060","6G","1809","120","1280","1*DVI-D / 1*HDMI / 3*DP","1*8pin","28.9","5","10390","40","66.40","10"
"58","MSI","GTX 1060","6G","1759","120","1280","1*DVI-D / 2*HDMI / 2*DP","1*6pin","17.5","4","7990","40","66.40","10"
"59","GIGABYTE","GTX 1070","8G","1746","150","1920","1*DVI-D / 1*HDMI / 3*DP","1*8pin","28.0","4","13900","19","98.00","6"
"6","GIGABYTE","GT 210","1G","520","31","16","1*VGA / 1*DVI-D / 1*HDMI","NO","17.0","3","1190","502","1.25","18"
"60","GALAX","GTX 1070","8G","1708","150","1920","1*DVI-D / 1*HDMI / 3*DP","1*6pin + 1*8pin","29.6","3","10790","19","98.00","6"
"61","INNO3D","GTX 1070","8G","1822","150","1920","1*DVI-D / 1*HDMI / 3*DP","1*6pin + 1*8pin","30.2","4","12490","19","98.00","6"
"62","GALAX","GTX 1070 Ti","8G","1683","180","2432","1*DVI-D / 1*HDMI / 3*DP","1*6pin + 1*8pin","30.0","3","14890","14","116.00","5"
"63","GIGABYTE","GTX 1080 Ti","11G","1721","180","3584","1*DVI-D / 1*HDMI / 3*DP","2*8pin","26.7","5","33490","6","150.00","2"
"64","ASUS","RTX 2070","8G","1815","185","2304","2*HDMI / 2*DP/1*USB Type-C","1*6pin + 1*8pin","30.0","5","21390","9","134.00","4"
"65","GIGABYTE","RTX 2070","8G","1815","185","2304","1*HDMI /3*DP/1*USB Type-C","1*6pin + 1*8pin","29.0","5","22490","9","134.00","4"
"66","MSI","RTX 2070","8G","1830","185","2304","1*HDMI /3*DP/1*USB Type-C","1*6pin + 1*8pin","30.7","4","20400","9","134.00","4"
"67","EVGA","RTX 2070","8G","1725","185","2304","1*HDMI /3*DP/1*USB Type-C","1*6pin + 1*8pin","26.9","5","19490","9","134.00","4"
"68","INNO3D","RTX 2070","8G","1620","185","2304","1*DVI-D / 1*HDMI / 2*DP/1*USB Type-C","1*8pin","19.6","3","16790","9","134.00","4"
"69","ZOTAC","RTX 2070","8G","1860","185","2304","1*HDMI /3*DP/1*USB Type-C","1*6pin + 1*8pin","30.8","4","20990","9","134.00","4"
"7","MSI","GT 210","1G","589","31","16","1*VGA / 1*DVI-D / 1*HDMI","NO","14.5","3","1190","502","1.25","18"
"70","GIGABYTE","RTX 2080","8G","1890","225","2944","3*HDMI / 3*DP/1*USB Type-C","2*8pin","29.0","5","31990","7","149.00","3"
"71","MSI","RTX 2080","8G","1860","225","2944","1*HDMI / 3*DP/1*USB Type-C","2*8pin","30.5","4","30900","7","149.00","3"
"72","GALAX","RTX 2080","8G","1800","225","2944","1*HDMI / 3*DP/1*USB Type-C","1*6pin + 1*8pin","28.3","3","27390","7","149.00","3"
"73","EVGA","RTX 2080","8G","1860","225","2944","1*HDMI / 3*DP/1*USB Type-C","2*8pin","30.2","5","29990","7","149.00","3"
"74","INNO3D","RTX 2080","8G","1830","225","2944","1*HDMI / 3*DP/1*USB Type-C","1*6pin + 1*8pin","27.2","3","27990","7","149.00","3"
"75","ZOTAC","RTX 2080","8G","1905","225","2944","1*HDMI / 3*DP/1*USB Type-C","2*8pin","32.4","4","29990","7","149.00","3"
"76","ASUS","RTX 2080 Ti","11G","1575","260","4352","2*HDMI / 2*DP/1*USB Type-C","2*8pin","30.5","5","40790","2","193.00","1"
"77","GIGABYTE","RTX 2080 Ti","11G","1770","260","4352","3*HDMI / 3*DP/1*USB Type-C","2*8pin","29.1","5","44990","2","193.00","1"
"78","GALAX","RTX 2080 Ti","11G","1620","260","4352","1*HDMI / 3*DP/1*USB Type-C","2*8pin","28.3","3","38990","2","193.00","1"
"79","EVGA","RTX 2080 Ti","11G","1755","260","4352","1*HDMI / 3*DP/1*USB Type-C","2*8pin","30.2","5","44990","2","193.00","1"
"8","EVGA","GT 210","1G","520","31","16","1*VGA / 1*DVI / 1*HDMI","NO","15.7","5","1090","502","1.25","18"
"80","ZOTAC","RTX 2080 Ti","11G","1665","260","4352","1*HDMI / 3*DP/1*USB Type-C","2*8pin","30.8","4","39890","2","193.00","1"
"81","PowerColor","RX 550","2G","1190","50","512","1*DVI-D / 1*HDMI / 1*DP","NO","22.5","3","2990","125","20.90","14"
"82","ASUS","RX 550","2G","1071","50","640","1*DVI-D / 1*HDMI / 1*DP","NO","19.2","4","2890","125","20.90","14"
