Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i5-4670S,122,72.4,311,https://cpu.userbenchmark.com/SpeedTest/5523/IntelR-CoreTM-i5-4670S-CPU---310GHz
CPU,,Intel,Core i7-7820HK,123,72.4,6118,https://cpu.userbenchmark.com/SpeedTest/224965/IntelR-CoreTM-i7-7820HK-CPU---290GHz
CPU,CM8068403358913,Intel,Core i5-8400T,124,72.4,184,https://cpu.userbenchmark.com/SpeedTest/475176/IntelR-CoreTM-i5-8400T-CPU---170GHz
CPU,YD150XBBAEBOX,AMD,Ryzen 5 1500X,125,72.3,19372,https://cpu.userbenchmark.com/AMD-Ryzen-5-1500X/Rating/3921
CPU,BX80677I77700T,Intel,Core i7-7700T,126,72.2,1826,https://cpu.userbenchmark.com/SpeedTest/232624/IntelR-CoreTM-i7-7700T-CPU---290GHz
CPU,,Intel,Xeon E5-2690 v2,127,71.9,184,https://cpu.userbenchmark.com/SpeedTest/13436/IntelR-XeonR-CPU-E5-2690-v2---300GHz
CPU,,Intel,Xeon E3-1505M v6,128,71.9,1307,https://cpu.userbenchmark.com/SpeedTest/233404/IntelR-XeonR-CPU-E3-1505M-v6---300GHz
CPU,YD2400C5FBBOX,AMD,Ryzen 5 2400G,129,71.8,16386,https://cpu.userbenchmark.com/SpeedTest/433194/AMD-Ryzen-5-2400G-with-Radeon-Vega-Graphics
CPU,,Intel,Core i7-4790S,130,71.6,4492,https://cpu.userbenchmark.com/SpeedTest/13424/IntelR-CoreTM-i7-4790S-CPU---320GHz
CPU,BX80623I52500K,Intel,Core i5-2500K,131,71.3,72401,https://cpu.userbenchmark.com/Intel-Core-i5-2500K/Rating/619
CPU,,Intel,Core i5-2550K,132,71.2,1175,https://cpu.userbenchmark.com/SpeedTest/5474/IntelR-CoreTM-i5-2550K-CPU---340GHz
CPU,,Intel,Xeon E3-1270 V2,133,71.2,608,https://cpu.userbenchmark.com/SpeedTest/11264/IntelR-XeonR-CPU-E3-1270-V2---350GHz
CPU,BX80646I54590,Intel,Core i5-4590,134,71.2,42949,https://cpu.userbenchmark.com/Intel-Core-i5-4590/Rating/2604
CPU,FJ8068404064604,Intel,Core i5-8265U,135,70.9,255,https://cpu.userbenchmark.com/SpeedTest/566107/IntelR-CoreTM-i5-8265U-CPU---160GHz
CPU,,Intel,Core i5-8305G,136,70.8,75,https://cpu.userbenchmark.com/SpeedTest/483074/IntelR-CoreTM-i5-8305G-CPU---280GHz
CPU,,Intel,Core i7 X 990,137,70.6,1449,https://cpu.userbenchmark.com/SpeedTest/2590/IntelR-CoreTM-i7-CPU-------X-990----347GHz
CPU,,Intel,Xeon W3680,138,70.6,1311,https://cpu.userbenchmark.com/SpeedTest/12335/IntelR-XeonR-CPU-----------W3680----333GHz
CPU,BX80646E31231V3,Intel,Xeon E3-1231 v3,139,70.3,6826,https://cpu.userbenchmark.com/SpeedTest/11040/IntelR-XeonR-CPU-E3-1231-v3---340GHz
CPU,CM8066201920202,Intel,Core i7-6700T,140,70.3,2722,https://cpu.userbenchmark.com/SpeedTest/36439/IntelR-CoreTM-i7-6700T-CPU---280GHz
CPU,BX80633I74820K,Intel,Core i7-4820K,141,70.3,7937,https://cpu.userbenchmark.com/Intel-Core-i7-4820K/Rating/1675
CPU,,Intel,Core i7-4940MX,142,70.3,758,https://cpu.userbenchmark.com/SpeedTest/9756/IntelR-CoreTM-i7-4940MX-CPU---310GHz
CPU,,Intel,Core i5-3570,143,70.2,26040,https://cpu.userbenchmark.com/SpeedTest/793/IntelR-CoreTM-i5-3570-CPU---340GHz
