,brand,name,cpu_type,size,display_port,storage,built_in,network,warranty,price
102,華擎,B360M Pro4,LGA 1151 for 8+9th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊四年.365天換新,2690
103,華擎,B360M-ITX/ac,LGA 1151 for 8+9th,mini-ITX,1*DVI-D / 1*HDMI / 1*DP,1*M.2 / 4*SATA3,USB 3.1 Gen2,2*Intel Gigabit LAN / ac+BT 4.2,註冊四年.365天換新,3190
104,華擎,Fatal1ty B360M Performance,LGA 1151 for 8+9th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊五年.365天換新,2890
105,華碩,PRIME H370M-PLUS,LGA 1151 for 8+9th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊四年,3890
106,華碩,TUF H370-PRO GAMING WIFI,LGA 1151 for 8+9th,ATX,1*VGA / 1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 5.0,註冊五年,4090
107,華碩,ROG STRIX H370-I GAMING,LGA 1151 for 8+9th,mini-ITX,1*HDMI / 1*DP,2*M.2 / 4*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 5.0,註冊五年,4990
108,華碩,ROG STRIX H370-F GAMING,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,4290
109,技嘉,H370M D3H,LGA 1151 for 8+9th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊四年,3790
110,技嘉,H370 HD3,LGA 1151 for 8+9th,ATX,1*VGA / 1*DVI-D,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊四年,3990
111,技嘉,H370N WIFI,LGA 1151 for 8+9th,mini-ITX,2*HDMI / 1*DP,2*M.2 / 4*SATA3,USB 3.1 Gen1,2*Intel Gigabit LAN / ac+BT 5.0,註冊四年,4690
112,技嘉,H370 AORUS GAMING 3 WIFI,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 5.0,註冊五年,4390
113,微星,H370M BAZOOKA,LGA 1151 for 8+9th,M-ATX,1*DVI-D / 1*HDMI / 1*DP,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,3690
114,微星,H370 GAMING PLUS,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*DP,1*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,3990
115,華擎,H370M Pro4,LGA 1151 for 8+9th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊四年.365天換新,2790
116,華擎,H370 Pro4,LGA 1151 for 8+9th,ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊四年.365天換新,3090
117,華碩,PRIME Z370M-PLUS II,LGA 1151 for 8+9th,M-ATX,1*DVI-D / 1*HDMI,2*M.2 / 4*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年,3890
118,華碩,PRIME Z370-P II,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,4090
119,華碩,PRIME Z370-A,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊四年,4190
120,華碩,TUF Z370-PLUS GAMING,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,3990
121,華碩,TUF Z370-PRO GAMING,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,4290
122,華碩,ROG STRIX Z370-I GAMING,LGA 1151 for 8+9th,mini-ITX,1*HDMI / 1*DP,2*M.2 / 4*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 4.2,註冊五年,5990
123,華碩,ROG MAXIMUS X HERO,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,7190
124,華碩,ROG MAXIMUS X FORMULA,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 4.2,註冊五年,16990
125,技嘉,Z370M DS3H,LGA 1151 for 8+9th,M-ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,3590
126,技嘉,Z370P D3,LGA 1151 for 8+9th,ATX,1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,3690
127,技嘉,Z370 HD3-OP,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,1*M.2(32GB Optane已佔用*1) / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年,4690
128,技嘉,Z370N-WIFI,LGA 1151 for 8+9th,mini-ITX,2*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN / ac+BT 4.2,註冊四年,4750
129,技嘉,Z370 AORUS GAMING 3,LGA 1151 for 8+9th,ATX,1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Killer Gigabit LAN,註冊五年,4690
130,微星,Z370-A PRO,LGA 1151 for 8+9th,ATX,1*VGA / 1*DVI-D / 1*DP,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,3990
131,微星,Z370-A PRO(ATX) + i5-8400代理(6核6緒)2.8GHz,LGA 1151 for 8+9th,ATX,1*VGA / 1*DVI-D / 1*DP,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,9790
132,微星,Z370 TOMAHAWK,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,4790
133,華擎,Z370M Pro4,LGA 1151 for 8+9th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年.365天換新,3390
134,華擎,Z370 Pro4,LGA 1151 for 8+9th,ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年.365天換新,3490
135,華擎,Z370M-ITX/ac,LGA 1151 for 8+9th,mini-ITX,2*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN / ac+BT 4.2,註冊四年.365天換新,3690
136,華擎,Z370 Killer SLI,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN,註冊四年.365天換新,3690
137,華擎,Z370 Killer SLI/AC,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen1,Intel Gigabit LAN / ac+BT 4.2,註冊四年.365天換新,3990
138,華擎,Z370 Taichi 太極,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,3*M.2 / 8*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 4.2,註冊四年.365天換新,7390
139,華碩,PRIME Z390M-PLUS,LGA 1151 for 8+9th,M-ATX,1*DVI-D / 1*HDMI,2*M.2 / 4*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,3890
140,華碩,PRIME Z390-P,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 4*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,4390
141,華碩,TUF Z390M-PRO GAMING WI-FI,LGA 1151 for 8+9th,M-ATX,1*HDMI / 1*DP,2*M.2 / 4*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,4990
142,華碩,TUF Z390-PLUS GAMING WIFI,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,4990
143,華碩,PRIME Z390-A,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊四年,5490
144,華碩,ROG STRIX Z390-H GAMING,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,5290
145,華碩,ROG STRIX Z390-F GAMING,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,5990
146,華碩,ROG STRIX Z390-F GAMING(ATX) + Intel i7-9700K代,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,19290
147,華碩,ROG STRIX Z390-I GAMING,LGA 1151 for 8+9th,mini-ITX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,6490
148,華碩,ROG STRIX Z390-E GAMING,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,6990
149,華碩,ROG MAXIMUS XI HERO WI-FI/CE,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,9290
150,華碩,ROG MAXIMUS XI HERO WI-FI(ATX/1H1P/Ｉ網/ac+BT5/註五年)送IMPACT電競鼠,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,9290
151,華碩,ROG MAXIMUS XI HERO WI-FI(ATX) + Intel i9-9900K代,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,24090
152,華碩,ROG MAXIMUS XI GENE,LGA 1151 for 8+9th,M-ATX,1*HDMI,2*ROG M.2 / 2*M.2 / 4*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,12990
153,華碩,ROG MAXIMUS XI FORMULA,LGA 1151 for 8+9th,ATX,1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,1*Intel Giga/1*Aquantia 5G/ac+BT 5.0,註冊五年,17990
154,華碩,ROG MAXIMUS XI EXTREME,LGA 1151 for 8+9th,E-ATX,1*HDMI,2*ROG M.2 / 2*M.2 / 6*SATA3,USB 3.1 Gen2,1*Intel Giga/1*Aquantia 5G/ac+BT 5.0,註冊五年,19990
155,技嘉,Z390 M,LGA 1151 for 8+9th,M-ATX,1*DVI-D / 1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊四年,3790
156,技嘉,Z390 UD,LGA 1151 for 8+9th,ATX,1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,4290
157,技嘉,Z390 M GAMING,LGA 1151 for 8+9th,M-ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊五年,4190
158,技嘉,Z390 GAMING X,LGA 1151 for 8+9th,ATX,1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2,註冊五年,4690
159,技嘉,Z390 AORUS ELITE 翼力特,LGA 1151 for 8+9th,ATX,1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2,註冊五年,5190
160,技嘉,Z390 AORUS PRO WIFI,LGA 1151 for 8+9th,ATX,1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 5.0,註冊五年,5890
161,技嘉,Z390 I AORUS PRO WIFI,LGA 1151 for 8+9th,mini-ITX,1*HDMI / 1*DP,2*M.2 / 4*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 5.0,註冊五年,6190
162,技嘉,Z390 DESIGNARE,LGA 1151 for 8+9th,ATX,1*HDMI/2*Thunderbolt3,2*M.2 / 6*SATA3,USB 3.1 Gen2/Thunderbolt3,2*Intel Gigabit LAN/ac+BT 5.0,註冊四年,8290
163,技嘉,Z390 AORUS MASTER,LGA 1151 for 8+9th,ATX,1*HDMI,3*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊五年,9290
164,技嘉,Z390 AORUS XTREME,LGA 1151 for 8+9th,E-ATX,1*HDMI,3*M.2 / 6*SATA3,USB 3.1 Gen2/Thunderbolt3,1*Intel Giga/1*Aquantia 10G/ac+BT 5.0,註冊五年,18990
165,微星,MAG Z390M MORTAR,LGA 1151 for 8+9th,M-ATX,1*DVI-D / 1*HDMI / 1*DP,2*M.2 / 4*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊五年,3890
166,微星,Z390-A PRO,LGA 1151 for 8+9th,ATX,1*VGA / 1*DVI-D / 1*DP,1*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊四年,4290
167,微星,MPG Z390 GAMING PLUS,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊五年,4590
168,微星,390 GAMING PLUS(ATX) + i5-9600K(6核6緒)3.7GHz,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊五年,12190
169,微星,MAG Z390 TOMAHAWK,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,2*Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊五年,4790
170,微星,MPG Z390 GAMING EDGE AC,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,5490
171,微星,MPG Z390I GAMING EDGE AC,LGA 1151 for 8+9th,mini-ITX,1*HDMI / 1*DP,2*M.2 / 4*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN/ac+BT 5.0,註冊五年,6190
172,微星,MPG Z390 GAMING PRO CARBON AC,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 5.0,註冊五年,6550
173,微星,MEG Z390 ACE,LGA 1151 for 8+9th,ATX,無,3*M.2 / 6*SATA3,USB 3.1 Gen2,Killer Gigabit LAN/ac+BT 5.0,註冊五年,8890
174,微星,MEG Z390 GODLIKE,LGA 1151 for 8+9th,E-ATX,無,3*M.2 / 6*SATA3,USB 3.1 Gen2,2*Killer Gigabit LAN/ac+BT 5.0,註冊五年,17490
175,華擎,Z390M Pro4,LGA 1151 for 8+9th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊四年.365天換新,3590
176,華擎,Z390M-ITX/ac,LGA 1151 for 8+9th,mini-ITX,2*HDMI / 1*DP,1*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN/ac+BT 4.2,註冊四年.365天換新,4990
177,華擎,Z390 Phantom Gaming SLI,LGA 1151 for 8+9th,ATX,1*DVI-D / 1*HDMI,2*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek 2.5G LAN,註冊四年.365天換新,5390
178,華擎,Z390 Extreme4,LGA 1151 for 8+9th,ATX,1*VGA / 1*HDMI / 1*DP,2*M.2 / 8*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / M.2 for CNVi WiFi+BT,註冊四年.365天換新,5750
179,華擎,Z390 Phantom Gaming 6,LGA 1151 for 8+9th,ATX,1*VGA / 1*HDMI / 1*DP,2*M.2 / 8*SATA3,USB 3.1 Gen2,Realtek 2.5G + Intel Gigabit LAN,註冊四年.365天換新,6390
180,華擎,Z390 Taichi 太極,LGA 1151 for 8+9th,ATX,1*HDMI / 1*DP,3*M.2 / 8*SATA3,USB 3.1 Gen2,2*Intel Gigabit LAN / ac+BT 4.2,註冊四年.365天換新,7990
181,華碩,H61M-K,LGA 1155 for 3rd/2nd,M-ATX,1*VGA / 1*DVI-D,4*SATA2,USB 2.0,Realtek Gigabit LAN,註冊四年,2490
182,技嘉,H61M-DS2,LGA 1155 for 3rd/2nd,M-ATX,1*VGA,4*SATA2,USB 2.0 / LPT+COM埠,Realtek Gigabit LAN,註冊四年,2390
183,華碩,B75M-PLUS,1155 for 3rd/2nd,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*SATA3 / 5*SATA2,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2990
184,華碩,H81M-K,LGA 1150 for 4th,M-ATX,1*VGA / 1*DVI-D,2*SATA3 / 2*SATA2,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,1990
185,技嘉,H81M-DS2,LGA 1150 for 4th,M-ATX,1*VGA,2*SATA3 / 2*SATA2,USB 3.1 Gen1 / LPT+COM埠,Realtek Gigabit LAN,三年,1890
186,技嘉,H81M-S2PH,LGA 1150 for 4th,M-ATX,1*VGA / 1*HDMI,2*SATA3 / 2*SATA2,USB 3.1 Gen1 / LPT+COM埠,Realtek Gigabit LAN,三年,1890
187,華碩,B85M-G,LGA 1150 for 4th,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,2*SATA3 / 4*SATA2,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2590
188,華碩,PRIME A320M-K,AM4,M-ATX,1*VGA / 1*HDMI,1*M.2(搭APU僅支援SATA模式) / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2390
189,華碩,PRIME A320M-K(M-ATX) + A8-9600代,AM4,M-ATX,1*VGA / 1*HDMI,1*M.2(搭APU僅支援SATA模式) / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,3290
190,華碩,PRIME A320M-A,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,2590
191,華碩,PRIME A320M-A(M-ATX) + ATHLON 200GE代,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,4190
192,技嘉,A320M-S2H,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2090
193,微星,A320M PRO-VH PLUS,AM4,M-ATX,1*VGA / 1*HDMI,4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2090
194,微星,A320M PRO-M2,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2190
195,微星,A320M PRO-M2(M-ATX/1A1D1H) + A6-9500代,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,3090
196,微星,A320M BAZOOKA 火箭筒,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊五年,2550
197,華擎,A320M-HDV,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年.365天換新,1790
198,華碩,PRIME B350M-K,AM4,M-ATX,1*VGA / 1*DVI-D,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,1990
199,華碩,PRIME B350M-A,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,2990
200,華碩,PRIME B350M-A(M-ATX) + R3 2200G代,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,5590
201,華碩,PRIME B350-PLUS,AM4,ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,2290
202,華碩,ROG STRIX B350-F GAMING,AM4,ATX,1*HDMI / 1*DP,1*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,2590
203,技嘉,AB350M-DS3H V2,AM4,M-ATX,1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,免註冊四年,1790
204,微星,B350M PRO-VD PLUS,AM4,M-ATX,1*VGA / 1*DVI-D,4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,1990
205,微星,B350M PRO-VDH,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2590
206,微星,B350M MORTAR,AM4,M-ATX,1*DVI-D / 1*HDMI / 1*DP,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊五年,2490
207,微星,B350I PRO AC,AM4,mini-ITX,1*HDMI / 1*DP,1*M.2 / 4*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN / ac+BT 4.2,註冊四年,3390
208,微星,B350 GAMING PLUS,AM4,ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊五年,2990
209,微星,B350 TOMAHAWK,AM4,ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊五年,3490
210,華擎,AB350M-HDV,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年.365天換新,1690
211,華擎,AB350M Pro4,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年.365天換新,1990
212,華擎,Fatal1ty AB350 Gaming K4,AM4,ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊五年.365天換新,2190
213,華碩,PRIME X370-A,AM4,ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,2790
214,華碩,PRIME X370-PRO,AM4,ATX,1*HDMI / 1*DP,1*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊四年,2990
215,技嘉,AX370M-DS3H,AM4,M-ATX,1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2090
216,技嘉,AX370M-GAMING 3,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊五年,2290
217,技嘉,AX370-GAMING 3,AM4,ATX,1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊五年,2990
218,華碩,PRIME B450M-K,AM4,M-ATX,1*VGA / 1*DVI-D,1*M.2 / 4*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,2690
219,華碩,PRIME B450M-K,AM4,M-ATX,1*VGA / 1*DVI-D,1*M.2 / 4*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,2290
220,華碩,PRIME B450M-A,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,2990
221,華碩,PRIME B450M-A(M-ATX) + R5 2400G代,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊四年,7790
222,華碩,TUF B450M-PLUS GAMING,AM4,M-ATX,1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊五年,2590
223,華碩,TUF B450-PLUS GAMING,AM4,ATX,1*DVI-D / 1*HDMI,1*M.2 / 6*SATA3,USB 3.1 Gen2,Realtek Gigabit LAN,註冊五年,3290
224,華碩,ROG STRIX B450-I GAMING,AM4,mini-ITX,1*HDMI,2*M.2 / 4*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 4.2,註冊五年,4290
225,華碩,ROG STRIX B450-F GAMING,AM4,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,3890
226,華碩,ROG STRIX B450-F GAMING(ATX)+R5 2600代,AM4,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN,註冊五年,9850
227,華碩,ROG STRIX B450-E GAMING,AM4,ATX,1*HDMI / 1*DP,2*M.2 / 6*SATA3,USB 3.1 Gen2,Intel Gigabit LAN / ac+BT 5.0,註冊五年,4290
228,技嘉,B450M GAMING,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2690
229,技嘉,B450M GAMING(M-ATX/1D1H) + R5 2400G代,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,7300
230,技嘉,B450M GAMING(M-ATX/1D1H) + R5 2600代,AM4,M-ATX,1*VGA / 1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,8500
231,技嘉,B450M DS3H,AM4,M-ATX,1*DVI-D / 1*HDMI,1*M.2 / 4*SATA3,USB 3.1 Gen1,Realtek Gigabit LAN,註冊四年,2790
